rent_approval_date,town,block,flat_type,flat_model,floor_area_sqm,lease_commence_date,latitude,longitude,subzone,region,monthly_rent
8,2595.146198830409,257,3,10,67.0,17,1.344518,103.73863,149,4,1600
16,2438.2272228320526,119,4,10,92.0,12,1.330186,103.938717,8,1,2250
21,2516.6805151641047,157,3,5,67.0,5,1.332242,103.845643,128,0,1900
7,2686.857476635514,250,6,3,149.0,27,1.370239,103.962894,91,1,2850
22,2665.537634408602,34,3,5,68.0,6,1.320502,103.863341,12,0,2100
27,2493.746110765401,654,6,11,130.0,35,1.387847,103.764249,101,4,2300
0,2622.233325006245,407,5,11,110.0,39,1.388997,103.875148,45,3,2100
17,2416.7000572409847,223,3,10,67.0,12,1.366048,103.838123,110,3,2300
9,2867.0494084899096,149,4,14,84.0,21,1.344279,103.855556,13,0,2100
3,2665.555555555556,133,5,11,112.0,37,1.392832,103.91062,97,3,2100
1,2502.5743977326406,414,4,7,104.0,27,1.382167,103.742248,95,4,1800
13,2686.857476635514,636,5,5,123.0,29,1.37679,103.940742,92,1,2450
6,2438.2272228320526,164,4,14,84.0,20,1.320115,103.94657,10,1,2400
13,2438.2272228320526,77,3,5,60.0,20,1.328696,103.941996,8,1,2000
27,2622.233325006245,416,4,7,93.0,50,1.390612,103.879964,45,3,3150
7,2502.5743977326406,402,4,7,112.0,27,1.379203,103.739438,95,4,2700
23,2646.8089788732395,716,4,10,91.0,15,1.30241,103.762805,35,4,4850
24,2686.857476635514,524,5,5,113.0,49,1.370545,103.947595,90,1,4400
12,2446.109123434705,533,3,5,69.0,22,1.355879,103.749799,51,4,1600
12,2540.491009681881,341,5,11,110.0,35,1.447982,103.818507,102,2,2600
22,2640.890550645819,425,3,7,81.0,18,1.350851,103.724437,54,4,2300
21,2466.2982514021774,316,3,7,73.0,27,1.431509,103.776362,139,2,2300
30,2840.4328578455484,81,3,15,60.0,1,1.303787,103.800385,37,0,2750
0,2622.233325006245,313,5,11,110.0,37,1.391349,103.888012,4,3,2100
0,2640.890550645819,657,4,7,91.0,36,1.335413,103.700289,61,4,2150
16,2646.8089788732395,513,3,10,68.0,14,1.308666,103.760258,35,4,2100
5,2640.890550645819,658,5,5,110.0,35,1.33649,103.700757,61,4,2500
3,2466.2982514021774,684,5,11,121.0,34,1.441402,103.803998,140,2,2000
28,2416.7000572409847,313,4,10,97.0,12,1.36665,103.850134,131,3,3000
26,2686.857476635514,766,4,7,104.0,30,1.375948,103.936001,92,1,2100
4,2398.090586145648,749,4,10,92.0,18,1.428376,103.834113,148,2,2300
27,2398.090586145648,137,3,10,68.0,19,1.431983,103.830253,148,2,2000
12,2416.7000572409847,635,3,10,68.0,14,1.380769,103.842378,144,3,2100
21,2927.678571428572,18,3,14,64.0,23,1.339997,103.772961,3,0,2850
5,2585.947712418301,57,3,5,65.0,9,1.306513,103.915485,81,0,2300
1,2904.1139240506327,38,4,7,100.0,31,1.288634,103.809644,1,0,2250
6,2466.2982514021774,34,4,10,98.0,12,1.443988,103.77201,87,2,1600
18,2502.5743977326406,164,6,3,141.0,32,1.381159,103.756363,122,4,3150
30,2622.233325006245,331,4,7,92.0,49,1.395672,103.890125,4,3,3700
29,2640.890550645819,330,5,5,121.0,31,1.337667,103.724155,116,4,3700
8,2665.555555555556,203,4,7,85.0,38,1.398524,103.903863,83,3,2400
14,2665.555555555556,160,5,11,114.0,38,1.395312,103.915708,97,3,2100
14,2622.233325006245,203,4,7,90.0,34,1.38795,103.895779,105,3,2600
16,2622.233325006245,290,5,5,110.0,35,1.397033,103.897023,105,3,2500
7,2665.555555555556,112,6,11,130.0,37,1.396245,103.907087,97,3,1950
25,2484.2657342657344,16,3,5,59.0,11,1.322994,103.90445,48,0,1700
25,2493.746110765401,448,5,5,120.0,31,1.383697,103.772096,43,4,2950
18,2503.2528856243443,154,3,10,67.0,18,1.352203,103.880173,77,3,1700
