index,rent_approval_date,town,block,flat_type,flat_model
0,8,2595.1461988304095,257,3,2369.9654622741764
1,16,2438.2272228320526,119,4,2369.9654622741764
2,21,2516.6805151641047,157,3,2636.2110523221636
3,7,2686.857476635514,250,6,2878.7259615384614
4,22,2665.537634408602,34,3,2636.2110523221636
5,27,2493.746110765401,654,6,2709.678997846937
6,0,2622.233325006245,407,5,2709.678997846937
7,17,2416.7000572409847,223,3,2369.9654622741764
8,9,2867.0494084899096,149,4,2464.689063616869
9,3,2665.5555555555557,133,5,2709.678997846937
10,1,2502.5743977326406,414,4,2612.0313047541176
11,13,2686.857476635514,636,5,2636.2110523221636
12,6,2438.2272228320526,164,4,2464.689063616869
13,13,2438.2272228320526,77,3,2636.2110523221636
14,27,2622.233325006245,416,4,2612.0313047541176
15,7,2502.5743977326406,402,4,2612.0313047541176
16,23,2646.8089788732395,716,4,2369.9654622741764
17,24,2686.857476635514,524,5,2636.2110523221636
18,12,2446.109123434705,533,3,2636.2110523221636
19,12,2540.491009681881,341,5,2709.678997846937
20,22,2640.890550645819,425,3,2612.0313047541176
21,21,2466.2982514021774,316,3,2612.0313047541176
22,30,2840.4328578455484,81,3,2444.223985890653
23,0,2622.233325006245,313,5,2709.678997846937
24,0,2640.890550645819,657,4,2612.0313047541176
25,16,2646.8089788732395,513,3,2369.9654622741764
26,5,2640.890550645819,658,5,2636.2110523221636
27,3,2466.2982514021774,684,5,2709.678997846937
28,28,2416.7000572409847,313,4,2369.9654622741764
29,26,2686.857476635514,766,4,2612.0313047541176
30,4,2398.090586145648,749,4,2369.9654622741764
31,27,2398.090586145648,137,3,2369.9654622741764
32,12,2416.7000572409847,635,3,2369.9654622741764
33,21,2927.6785714285716,18,3,2464.689063616869
34,5,2585.947712418301,57,3,2636.2110523221636
35,1,2904.1139240506327,38,4,2612.0313047541176
36,6,2466.2982514021774,34,4,2369.9654622741764
37,18,2502.5743977326406,164,6,2878.7259615384614
38,30,2622.233325006245,331,4,2612.0313047541176
39,29,2640.890550645819,330,5,2636.2110523221636
40,8,2665.5555555555557,203,4,2612.0313047541176
41,14,2665.5555555555557,160,5,2709.678997846937
42,14,2622.233325006245,203,4,2612.0313047541176
43,16,2622.233325006245,290,5,2636.2110523221636
44,7,2665.5555555555557,112,6,2709.678997846937
45,25,2484.2657342657344,16,3,2636.2110523221636
46,25,2493.746110765401,448,5,2636.2110523221636
47,18,2503.2528856243443,154,3,2369.9654622741764
48,4,2640.890550645819,942,4,2612.0313047541176
49,25,2503.2528856243443,475,4,3150.4043126684637
50,1,2516.6805151641047,26,3,2636.2110523221636
