index,flat_model,floor_area_sqm,lease_commence_date
0,10,67.0,1983
1,10,92.0,1978
2,5,67.0,1971
3,3,149.0,1993
4,5,68.0,1972
5,11,130.0,2001
6,11,110.0,2005
7,10,67.0,1978
8,14,84.0,1987
9,11,112.0,2003
10,7,104.0,1993
11,5,123.0,1995
12,14,84.0,1986
13,5,60.0,1986
14,7,93.0,2016
15,7,112.0,1993
16,10,91.0,1981
17,5,113.0,2015
18,5,69.0,1988
19,11,110.0,2001
20,7,81.0,1984
21,7,73.0,1993
22,15,60.0,1967
23,11,110.0,2003
24,7,91.0,2002
25,10,68.0,1980
26,5,110.0,2001
27,11,121.0,2000
28,10,97.0,1978
29,7,104.0,1996
30,10,92.0,1984
31,10,68.0,1985
32,10,68.0,1980
33,14,64.0,1989
34,5,65.0,1975
35,7,100.0,1997
36,10,98.0,1978
37,3,141.0,1998
38,7,92.0,2015
39,5,121.0,1997
40,7,85.0,2004
41,11,114.0,2004
42,7,90.0,2000
43,5,110.0,2001
44,11,130.0,2003
45,5,59.0,1977
46,5,120.0,1997
47,10,67.0,1984
48,7,105.0,1989
49,4,92.0,2014
50,5,67.0,1971
51,5,115.0,2000
52,7,107.0,1996
53,7,105.0,1988
54,3,144.0,1994
55,7,90.0,2001
56,9,90.0,2000
57,9,90.0,1999
58,11,142.0,2000
59,3,147.0,1993
60,5,110.0,2004
61,10,73.0,1978
62,5,65.0,1982
63,5,67.0,1970
64,7,93.0,2013
65,10,92.0,1985
66,10,91.0,1984
67,3,146.0,1996
68,10,92.0,1978
69,10,73.0,1979
70,5,84.0,1974
71,7,67.0,2015
72,11,90.0,2004
73,10,67.0,1978
74,7,100.0,1997
75,14,64.0,1986
76,5,120.0,1998
77,10,73.0,1979
78,5,111.0,2001
79,7,91.0,2005
80,5,125.0,1997
81,7,99.0,1997
82,7,73.0,1984
83,7,47.0,2018
84,11,105.0,1999
85,11,110.0,2001
86,14,84.0,1987
87,7,102.0,1984
88,11,93.0,2012
89,5,116.0,2000
90,10,98.0,1985
91,5,65.0,1972
92,10,91.0,1980
93,5,121.0,1987
94,10,67.0,1978
95,10,93.0,1985
96,9,90.0,1999
97,5,120.0,1999
98,7,76.0,1984
99,10,93.0,1985
100,5,110.0,2001
101,6,145.0,1992
102,7,91.0,2006
103,7,69.0,2012
104,5,45.0,1986
105,5,59.0,1978
106,7,74.0,1984
107,7,85.0,2005
108,10,68.0,1980
109,14,64.0,1988
110,7,75.0,1984
111,7,92.0,2013
112,5,122.0,1986
113,7,106.0,1997
114,9,85.0,2002
115,5,65.0,1982
116,5,65.0,1973
117,7,104.0,1994
118,11,110.0,2006
119,10,68.0,1981
120,11,115.0,2003
121,10,96.0,1984
122,15,117.0,1978
123,5,67.0,1970
124,7,103.0,1988
125,7,73.0,1984
126,15,117.0,1974
127,7,132.0,1996
128,5,59.0,1978
129,5,82.0,1982
130,14,84.0,1985
131,11,67.0,2015
132,10,82.0,1978
133,11,114.0,2001
134,7,93.0,2016
135,14,64.0,1987
136,7,74.0,1984
137,10,91.0,1976
138,10,67.0,1978
139,7,100.0,1999
140,7,70.0,2012
141,5,124.0,1993
142,5,119.0,1978
143,7,106.0,1985
144,7,60.0,2002
145,7,90.0,2003
146,5,65.0,1976
147,5,127.0,1995
148,10,92.0,1977
149,7,101.0,1997
150,7,103.0,1983
151,10,74.0,1979
152,11,92.0,2007
153,15,123.0,1978
154,5,59.0,1976
155,5,110.0,2003
156,7,103.0,1984
157,7,73.0,1984
158,10,92.0,1979
159,5,121.0,1987
160,10,67.0,1985
161,5,122.0,1989
162,15,120.0,1974
163,5,76.0,1976
164,5,121.0,2000
165,11,92.0,2003
166,5,121.0,1996
167,5,121.0,1999
168,10,67.0,1984
169,5,123.0,1986
170,10,67.0,1986
171,5,88.0,1976
172,7,100.0,1998
173,5,84.0,1977
174,10,97.0,1977
175,6,149.0,1992
176,9,93.0,1998
177,7,101.0,1999
178,7,104.0,1984
179,6,150.0,1985
180,5,116.0,2006
181,7,135.0,1992
182,5,120.0,1986
183,10,82.0,1985
184,7,91.0,2006
185,7,103.0,1984
186,7,100.0,2001
187,5,115.0,2006
188,10,91.0,1980
189,7,74.0,1989
190,5,60.0,1987
191,10,68.0,1980
192,7,114.0,1996
193,5,122.0,1988
194,5,121.0,1986
195,5,126.0,1993
196,10,67.0,1983
197,10,68.0,1981
198,10,98.0,1985
199,7,73.0,1984
200,7,73.0,1989
201,10,74.0,1978
202,7,93.0,2012
203,14,84.0,1990
204,5,85.0,1970
205,14,84.0,1985
206,7,104.0,1993
207,7,104.0,1999
208,10,67.0,1985
209,10,67.0,1979
210,5,122.0,1990
211,7,107.0,1996
212,10,98.0,1984
213,6,147.0,1995
214,10,67.0,1983
215,5,127.0,1993
216,4,67.0,2014
217,5,65.0,1972
218,7,92.0,2006
219,7,94.0,2010
220,15,57.0,1971
221,10,98.0,1977
222,10,67.0,1985
223,5,110.0,2001
224,14,64.0,1985
225,10,68.0,1980
226,7,136.0,1995
227,5,124.0,1997
228,5,110.0,2003
229,7,104.0,1992
230,10,91.0,1981
231,11,93.0,2007
232,10,82.0,1978
233,7,106.0,1995
234,14,88.0,1987
235,7,90.0,2002
236,7,95.0,2000
237,3,145.0,1993
238,10,67.0,1979
239,5,60.0,1970
240,5,119.0,1979
241,5,84.0,1977
242,3,130.0,2001
243,5,118.0,2005
244,5,68.0,1979
245,5,121.0,1999
246,10,67.0,1979
247,3,126.0,2002
248,7,100.0,1997
249,5,65.0,1981
250,14,84.0,1985
251,7,100.0,2001
252,7,132.0,1996
253,7,87.0,2016
254,5,121.0,1979
255,10,67.0,1978
256,5,123.0,1999
257,7,91.0,2002
258,10,68.0,1980
259,7,93.0,2018
260,11,110.0,2008
261,14,64.0,1986
262,11,146.0,2000
263,7,100.0,1997
264,10,73.0,1977
265,15,58.0,1969
266,14,89.0,1987
267,11,124.0,1999
268,10,82.0,1981
269,11,124.0,2000
270,4,111.0,2011
271,7,95.0,2000
272,7,74.0,1984
273,5,122.0,1986
274,5,67.0,1970
275,7,100.0,2001
276,5,65.0,1975
277,14,64.0,1988
278,7,103.0,1984
279,10,98.0,1984
280,5,110.0,2002
281,10,67.0,1979
282,11,103.0,1999
283,11,92.0,2003
284,3,130.0,2001
285,5,128.0,1993
286,10,67.0,1980
287,5,60.0,1980
288,10,91.0,1980
