index,latitude,longitude,subzone,region,monthly_rent
0,1.344518,103.73863,149,4,1600
1,1.330186,103.938717,8,1,2250
2,1.332242,103.845643,128,0,1900
3,1.370239,103.962894,91,1,2850
4,1.320502,103.863341,12,0,2100
5,1.387847,103.764249,101,4,2300
6,1.388997,103.875148,45,3,2100
7,1.366048,103.838123,110,3,2300
8,1.344279,103.855556,13,0,2100
9,1.392832,103.91062,97,3,2100
10,1.382167,103.742248,95,4,1800
11,1.37679,103.940742,92,1,2450
12,1.320115,103.94657,10,1,2400
13,1.328696,103.941996,8,1,2000
14,1.390612,103.879964,45,3,3150
15,1.379203,103.739438,95,4,2700
16,1.30241,103.762805,35,4,4850
17,1.370545,103.947595,90,1,4400
18,1.355879,103.749799,51,4,1600
19,1.447982,103.818507,102,2,2600
20,1.350851,103.724437,54,4,2300
21,1.431509,103.776362,139,2,2300
22,1.303787,103.800385,37,0,2750
23,1.391349,103.888012,4,3,2100
24,1.335413,103.700289,61,4,2150
25,1.308666,103.760258,35,4,2100
26,1.33649,103.700757,61,4,2500
27,1.441402,103.803998,140,2,2000
28,1.36665,103.850134,131,3,3000
29,1.375948,103.936001,92,1,2100
30,1.428376,103.834113,148,2,2300
31,1.431983,103.830253,148,2,2000
32,1.380769,103.842378,144,3,2100
33,1.339997,103.772961,3,0,2850
34,1.306513,103.915485,81,0,2300
35,1.288634,103.809644,1,0,2250
36,1.443988,103.77201,87,2,1600
37,1.381159,103.756363,122,4,3150
38,1.395672,103.890125,4,3,3700
39,1.337667,103.724155,116,4,3700
40,1.398524,103.903863,83,3,2400
41,1.395312,103.915708,97,3,2100
42,1.38795,103.895779,105,3,2600
43,1.397033,103.897023,105,3,2500
44,1.396245,103.907087,97,3,1950
45,1.322994,103.90445,48,0,1700
46,1.383697,103.772096,43,4,2950
47,1.352203,103.880173,77,3,1700
48,1.34372,103.689377,151,4,1600
49,1.375183,103.900406,57,3,4000
50,1.332918,103.856763,72,0,1700
51,1.387732,103.900634,105,3,2200
52,1.354513,103.963029,117,1,1800
53,1.416451,103.836741,147,2,2500
54,1.365942,103.963476,91,1,2850
55,1.451998,103.819476,104,2,1750
56,1.340946,103.699525,61,4,1600
57,1.376685,103.736818,95,4,2000
58,1.378101,103.736002,95,4,1800
59,1.344479,103.693479,151,4,4500
60,1.341567,103.69797,61,4,4200
61,1.322837,103.939125,10,1,2200
62,1.342053,103.849396,17,0,1900
63,1.334556,103.857191,94,0,2000
64,1.420369,103.844404,146,2,2600
65,1.329682,103.885408,79,0,2100
66,1.32106,103.762435,34,4,2750
67,1.382647,103.937557,92,1,3350
68,1.275583,103.810314,123,0,2850
69,1.368,103.851874,31,3,2100
70,1.33159,103.851295,128,0,2300
71,1.378931,103.900988,57,3,2050
72,1.442165,103.808041,140,2,3800
73,1.31935,103.943632,10,1,3000
74,1.356985,103.935335,118,1,3150
75,1.357829,103.945793,117,1,1850
76,1.376129,103.882895,132,3,2500
77,1.369122,103.851616,31,3,2200
78,1.428614,103.794718,141,2,3450
79,1.286546,103.830824,126,0,3250
80,1.294643,103.808264,80,0,3250
81,1.35939,103.936633,118,1,2400
82,1.271767,103.826622,124,0,2400
83,1.438506,103.804251,140,2,2750
84,1.403043,103.74559,143,4,1600
85,1.447534,103.817892,102,2,2100
86,1.417427,103.831589,71,2,2950
87,1.336849,103.881142,60,0,2500
88,1.405079,103.906706,98,3,3800
89,1.392962,103.899291,105,3,3700
90,1.4346,103.837409,88,2,2200
91,1.327234,103.922217,70,1,2300
92,1.378908,103.838603,144,3,2300
93,1.347017,103.849987,13,0,2750
94,1.31166,103.761761,33,4,1600
95,1.4301,103.833118,148,2,3700
96,1.389344,103.903082,100,3,2500
97,1.432928,103.796013,141,2,1750
98,1.324889,103.920247,70,1,2000
99,1.432623,103.836319,88,2,3150
100,1.336077,103.70505,61,4,2950
101,1.344537,103.696986,151,4,2200
102,1.334547,103.845078,128,0,3700
103,1.391098,103.875166,45,3,1200
104,1.374694,103.836463,69,3,2200
105,1.33188,103.932389,8,1,1900
106,1.334415,103.868694,96,0,2400
107,1.326437,103.941851,8,1,2200
108,1.372942,103.852866,26,3,3250
109,1.370881,103.884051,58,3,1250
110,1.349808,103.949578,117,1,2150
111,1.323784,103.738518,121,4,3450
112,1.424486,103.832251,148,2,2850
113,1.330481,103.886579,79,0,2400
114,1.384822,103.761182,106,4,2200
115,1.342053,103.849396,17,0,2000
116,1.342275,103.84805,129,0,2600
117,1.394026,103.744121,30,4,1850
118,1.382952,103.897863,38,3,2200
119,1.370437,103.847516,5,3,2300
120,1.441004,103.807223,140,2,2500
121,1.358741,103.872227,108,3,4100
122,1.314451,103.769564,34,4,2100
123,1.335757,103.85679,94,0,1600
124,1.34015,103.689146,151,4,4000
125,1.348606,103.939564,118,1,1700
126,1.323884,103.867865,47,0,2400
127,1.285057,103.823812,52,0,3800
128,1.347251,103.710014,15,4,2850
129,1.306171,103.850106,44,0,4200
130,1.359984,103.749882,55,4,3800
131,1.437731,103.794136,85,2,2500
132,1.328168,103.938918,8,1,2000
133,1.395817,103.90093,105,3,2100
134,1.417967,103.843459,78,2,2750
135,1.423529,103.831872,148,2,3350
136,1.35141,103.723601,54,4,1800
137,1.274253,103.812429,123,0,2200
138,1.320416,103.942732,10,1,1800
139,1.379085,103.737542,95,4,1900
140,1.365266,103.844538,131,3,1950
141,1.337177,103.852543,16,0,3700
142,1.332143,103.93372,8,1,2200
143,1.351518,103.887578,115,3,2750
144,1.273901,103.839417,42,0,2500
145,1.321499,103.738982,121,4,1900
146,1.346258,103.715155,15,4,2300
147,1.388305,103.742323,30,4,3800
148,1.367069,103.847902,131,3,3450
149,1.340499,103.720198,116,4,3150
150,1.336222,103.881103,60,0,3700
151,1.365384,103.852967,31,3,2600
152,1.382579,103.897225,38,3,2400
153,1.320367,103.943668,10,1,2300
154,1.27038,103.823236,124,0,1900
155,1.399774,103.90685,97,3,3150
156,1.347539,103.947675,117,1,2400
157,1.350612,103.939397,118,1,2300
158,1.364086,103.856692,31,3,2300
159,1.347846,103.85355,13,0,2550
160,1.367061,103.888077,73,3,1600
161,1.343849,103.693508,151,4,1900
162,1.324085,103.868591,47,0,2500
163,1.271409,103.810888,123,0,3350
164,1.429077,103.792256,141,2,2200
165,1.393334,103.889,4,3,1900
166,1.44493,103.792274,85,2,3700
167,1.333714,103.845233,128,0,4700
168,1.348733,103.753174,20,4,1750
169,1.418826,103.833376,71,2,2100
170,1.307148,103.759628,35,4,1800
171,1.307436,103.783629,41,0,2500
172,1.384542,103.767684,101,4,1900
173,1.321478,103.940721,10,1,2850
174,1.370203,103.834688,110,3,1950
175,1.355067,103.846946,82,0,3250
176,1.378937,103.883857,132,3,3250
177,1.432722,103.796846,141,2,1600
178,1.355973,103.890478,77,3,3450
179,1.349232,103.942181,117,1,2850
180,1.280958,103.80944,40,0,4200
181,1.358546,103.847127,82,0,3150
182,1.363347,103.83484,135,0,2300
183,1.351073,103.945004,117,1,1850
184,1.334547,103.845078,128,0,4200
185,1.349587,103.72724,54,4,2100
186,1.287017,103.816375,99,0,2200
187,1.281569,103.807732,40,0,3800
188,1.335036,103.919312,9,1,2250
189,1.42655,103.847265,146,2,1600
190,1.352221,103.75398,51,4,2500
191,1.313448,103.765484,33,4,3150
192,1.380232,103.937566,92,1,2000
193,1.345755,103.957269,111,1,2400
194,1.422532,103.832186,71,2,2250
195,1.354098,103.958267,117,1,2100
196,1.338895,103.738555,149,4,1900
197,1.443151,103.775165,87,2,1600
198,1.4346,103.837409,88,2,2000
199,1.347717,103.742832,23,4,2000
200,1.378214,103.751983,122,4,3150
201,1.371279,103.835767,69,3,2700
202,1.314896,103.764423,33,4,3450
203,1.438831,103.789589,85,2,2750
204,1.292097,103.80423,84,0,3150
205,1.35424,103.869822,107,3,2350
206,1.379611,103.741538,68,4,2100
207,1.382156,103.900712,100,3,2750
208,1.434354,103.83792,88,2,2100
209,1.317703,103.769077,34,4,2950
210,1.381931,103.745583,29,4,3450
211,1.35188,103.963114,117,1,4000
212,1.322589,103.769176,113,4,2950
213,1.352629,103.958645,117,1,2850
214,1.338895,103.738555,149,4,1350
215,1.355428,103.951447,117,1,4000
216,1.328438,103.723796,116,4,3050
217,1.330672,103.841918,128,0,2200
218,1.326686,103.941272,8,1,2400
219,1.324999,103.934234,8,1,2850
220,1.32743,103.885682,79,0,1950
221,1.368359,103.847746,131,3,2700
222,1.431002,103.832468,148,2,1800
223,1.43014,103.795835,141,2,2200
224,1.354449,103.874262,107,3,2150
225,1.379395,103.839157,144,3,2600
226,1.431869,103.841242,146,2,2200
227,1.356984,103.935887,118,1,2300
228,1.403686,103.751581,143,4,1900
229,1.377171,103.895401,57,3,2100
230,1.333658,103.916805,62,1,1950
231,1.40137,103.913192,137,3,1900
232,1.314562,103.76253,33,4,1950
233,1.44302,103.787916,85,2,2350
234,1.358365,103.954081,117,1,3700
235,1.274426,103.839672,42,0,4200
236,1.395222,103.904809,100,3,1900
237,1.370264,103.96241,91,1,2500
238,1.319663,103.76914,34,4,1900
239,1.290911,103.803121,84,0,2100
240,1.33106,103.930041,8,1,2350
241,1.321907,103.939847,10,1,1900
242,1.342204,103.699448,61,4,3800
243,1.36485,103.752162,50,4,2500
244,1.294801,103.854467,32,0,2500
245,1.385923,103.764614,101,4,3700
246,1.36831,103.8536,31,3,2800
247,1.352866,103.70328,138,4,2350
248,1.444868,103.801174,140,2,2600
249,1.317824,103.880078,2,0,1800
250,1.424702,103.83395,148,2,3900
251,1.28653,103.833163,126,0,3150
252,1.345372,103.69187,151,4,1900
253,1.286337,103.829205,126,0,3800
254,1.318363,103.769846,34,4,3150
255,1.312512,103.763269,33,4,4100
256,1.314481,103.870458,14,0,3100
257,1.344398,103.701664,61,4,2300
258,1.366948,103.857488,31,3,2950
259,1.277284,103.806916,123,0,4700
260,1.34563,103.705038,61,4,3900
261,1.416499,103.831578,71,2,1800
262,1.433716,103.793326,141,2,2600
263,1.356173,103.93748,118,1,1900
264,1.365141,103.848704,131,3,2850
265,1.287899,103.828204,24,0,2600
266,1.376647,103.886772,58,3,3350
267,1.402001,103.746685,143,4,2200
268,1.33225,103.915869,62,1,1700
269,1.434174,103.792397,141,2,1900
270,1.342859,103.958259,111,1,4000
271,1.294382,103.80556,84,0,3200
272,1.334415,103.868694,96,0,2200
273,1.287613,103.812272,1,0,2500
274,1.338331,103.845737,129,0,1050
275,1.287017,103.816375,99,0,2600
276,1.27791,103.822536,125,0,2100
277,1.348362,103.850897,13,0,1950
278,1.337144,103.928434,9,1,2100
279,1.346105,103.740826,23,4,2000
280,1.336642,103.69799,61,4,2100
281,1.363466,103.856703,31,3,2300
282,1.402978,103.747753,143,4,2100
283,1.391839,103.887996,4,3,2600
284,1.38808,103.890153,4,3,3800
285,1.374149,103.94354,90,1,2100
286,1.304844,103.761107,35,4,1900
287,1.284194,103.845986,27,0,2750
288,1.380709,103.835368,144,3,2200
289,1.370097,103.837688,69,3,2250
290,1.389001,103.892763,105,3,2300
291,1.396245,103.907087,97,3,1750
292,1.303405,103.909734,81,0,1800
293,1.348008,103.942814,117,1,2500
294,1.33685,103.702314,61,4,2850
295,1.368346,103.837196,110,3,1850
