index,num_shopping_mall_500m,nearest_shopping_mall_dist
0,0,1202.67
1,0,1114.34
2,1,468.3
3,1,402.36
4,0,1073.35
5,1,355.1
6,1,295.65
7,0,1088.95
8,0,1032.63
9,1,315.47
10,1,463.4
11,1,216.27
12,0,1999.74
13,0,1412.38
14,1,437.19
15,0,587.5
16,1,389.38
17,1,316.95
18,0,616.57
19,1,109.02
20,0,1420.14
21,1,451.97
22,0,907.23
23,0,787.77
24,0,774.02
25,0,826.9
26,0,696.22
27,1,294.06
28,0,625.53
29,0,737.09
30,1,256.94
31,0,802.78
32,0,1059.23
33,2,417.91
34,0,1169.49
35,1,449.93
36,0,1454.18
37,2,432.77
38,0,680.61
39,0,516.74
40,0,704.58
41,1,314.29
42,1,463.23
43,0,594.87
44,0,533.89
45,0,1151.43
46,1,137.09
47,1,206.27
48,0,903.72
49,0,795.34
50,0,775.1
51,1,289.84
52,0,1407.28
53,0,530.28
54,1,179.61
55,1,422.97
56,1,266.13
57,0,845.55
58,0,936.38
59,0,522.05
60,1,81.55
61,0,1124.73
62,0,924.24
63,0,863.69
64,1,440.02
65,0,1447.77
66,0,662.62
67,0,748.5
68,0,1416.06
69,0,615.25
70,1,167.47
71,0,739.33
72,0,748.03
73,0,1714.19
74,0,660.13
75,0,592.81
76,1,383.5
77,0,513.92
78,1,252.53
79,1,304.83
80,0,700.03
81,0,762.54
82,0,1624.14
83,1,368.74
84,0,579.85
85,1,189.55
86,0,1077.62
87,0,1487.55
88,0,523.57
89,1,480.65
90,0,501.44
91,0,822.74
92,0,1125.95
93,2,402.45
94,2,465.89
95,1,422.15
96,2,354.95
97,2,317.65
98,0,994.21
99,1,489.06
100,1,416.97
101,2,319.69
102,0,600.59
103,1,114.39
104,0,1098.21
105,0,713.84
106,1,265.48
107,0,1367.39
108,0,573.62
109,0,731.29
110,0,616.19
111,0,1077.3
112,0,622.58
113,0,1458.72
114,0,511.32
115,0,924.24
116,0,895.51
117,2,245.0
118,0,539.32
119,2,154.15
120,0,634.9
121,0,882.23
122,2,428.57
123,0,876.62
124,0,916.02
125,0,547.53
126,0,909.82
127,1,495.59
128,1,290.17
129,2,65.11
130,0,1071.75
131,1,147.85
132,0,1065.52
133,0,561.5
134,1,243.43
135,0,726.83
136,0,1357.88
137,0,1652.39
138,0,1580.79
139,0,785.23
140,0,758.21
141,0,647.46
142,0,814.25
143,0,931.51
144,1,457.04
145,0,1317.95
146,1,298.41
147,2,427.87
148,0,524.47
149,0,629.42
150,0,1459.83
151,0,912.02
152,0,502.7
153,0,1681.73
154,0,1850.74
155,0,809.39
156,0,647.34
157,2,331.09
158,0,948.16
159,0,625.25
160,0,875.37
161,1,480.68
162,0,883.22
163,0,1871.87
164,1,281.05
165,0,688.9
166,1,286.58
167,0,546.88
168,1,485.87
169,0,882.68
170,0,821.59
171,0,541.72
172,2,187.93
173,0,1332.57
174,0,1266.65
175,0,555.68
176,1,445.55
177,1,372.15
178,0,711.33
179,2,393.03
180,0,841.58
181,0,927.71
182,0,1118.7
183,2,170.78
184,0,600.59
185,0,1680.04
186,0,1215.79
187,0,691.26
188,0,1509.8
189,0,955.92
190,0,577.51
191,3,98.79
