index,nearest_mrt_distance,planned_mrt_distance,planned_mrt_opening_year
0,0.0062889030166804,0.0060711125700925,2028
1,0.0080866626821612,0.0081348814968921,2040
2,0.0019664588653637,0.010649406480464,TBA
3,0.013907702476782,0.0046425743376837,2030
4,0.0016898269288021,0.0253448773047476,2024
5,0.0088328487332228,0.020116834829463,2027
6,0.0186710000123049,0.0183926476216818,2030
7,0.0056339346439875,0.0040329083862198,2030
8,0.008697915695154,0.0244690614957136,2030
9,0.0143987267415821,0.0063585885865461,2032
10,0.0038370476662531,0.003585830901498,2027
11,0.0093250680393171,0.0077131945338891,2032
12,0.006912324601613,0.0061104480295936,2024
13,0.004487057623986,0.0045499234944582,2040
14,0.0148023620105178,0.0209326671031674,2030
15,0.0078920503154274,0.0076510155209531,2027
16,0.0129289244746688,0.0097468157767883,2032
17,0.0029758645668185,0.0025751184458177,2030
18,0.0034954889303103,0.0134793107875425,2028
19,0.0019381989358629,0.077858169729231,2030
20,0.0074577633986384,0.0072403412597378,2027
21,0.0025664316753375,0.0330335771902354,2030
22,0.0093371119294208,0.0281349227618316,TBA
23,0.0075062780358797,0.0200991592487316,2032
24,0.0036049749475133,0.0068612052133528,2027
25,0.0081204864603431,0.0032275737421175,2032
26,0.0035167236647903,0.0059532614863546,2027
27,0.0031951516949729,0.0619398489001913,2030
28,0.0033331939234097,0.0056694575358344,2030
29,0.0135860233582529,0.0070086614917194,2030
30,0.0015325359326725,0.0594875973096511,2030
31,0.0053613900857873,0.0638451962975424,2030
32,0.0027677735078285,0.0112291116905248,2030
33,0.0029290053820258,0.0114355952988357,2032
34,0.0147580533804599,0.0022165020178641,2024
35,0.0069090407419892,0.0282768362059829,2026
36,0.0115438381272755,0.0384763312126711,2030
37,0.0050839194421943,0.0126666252985176,2027
38,0.0066625657586245,0.0156663704596411,2032
39,0.0073298342109135,0.0164268721473645,2029
40,0.0061485731447775,0.0068917754675793,2032
41,0.0164089493317276,0.0013764074515478,2032
42,0.0038056146259916,0.0170466186655355,2030
43,0.0054992957794512,0.0099002870544915,2032
44,0.0095863101304673,0.0098519295599707,2032
45,0.0034361477194846,0.0191888129293445,2024
46,0.0116644362164233,0.0260619470539117,2028
47,0.008828915123769,0.0196020072604571,2030
48,0.0101094280884544,0.0072730784874504,2027
49,0.0094778561230449,0.0091168019504333,2030
50,0.0091914558685923,0.0215794341331848,TBA
51,0.0065109909569249,0.0174762058383763,2032
52,0.0085603843374042,0.0116650129580564,2030
53,0.0038519622246389,0.0472810224249618,2030
54,0.0131619768634386,0.0024765976383575,2030
55,0.0030447548745119,0.0805765968257397,2030
56,0.0039599240309551,0.0053972756232085,2027
57,0.0115049204693992,0.0112692333018627,2027
58,0.0110799670718021,0.0108667762354182,2027
59,0.0079324521162624,0.0059451437314488,2027
60,0.0040113602774396,0.0059800975178791,2027
61,0.0081791262690219,0.0085187108717411,2040
62,0.0032807632910915,0.0191997079537402,TBA
63,0.0098114448423297,0.0223711442938438,TBA
64,0.0116783672693414,0.0503824627715333,2030
65,0.0035410712028211,0.0318574227787845,2024
66,0.0065518777602902,0.0064061733248893,2032
67,0.0151657481777905,0.0014235530733629,2032
68,0.0049081359902497,0.0214004161735825,2026
69,0.0030165380433861,0.0066231647947529,2030
70,0.0038516958810371,0.0159589700310967,TBA
71,0.0092577555913788,0.011673595608241,2030
72,0.0073032560968459,0.0658989684660707,2030
73,0.0080697163945219,0.0046390359588214,2024
74,0.0078914752375024,0.0124640363993611,2030
75,0.0038626150366426,0.0138565231453783,2030
76,0.0110141294768613,0.0104525968055192,2030
77,0.0022117913610275,0.006119311724114,2030
78,0.0018966843979465,0.0484044384241273,2030
79,0.0033858137963337,0.0149200985927599,2026
80,0.0021887301354649,0.0291198520059655,TBA
81,0.0076576559431507,0.0098766590747331,2030
82,0.0088577473810243,0.0046847967319525,2026
83,0.0039135600958073,0.0609107201007856,2030
84,0.0058599599965944,0.0107472910360362,2030
85,0.0026977856907115,0.0771084441353354,2030
86,0.0014810417823063,0.0494422323035121,2030
87,0.0056753479878627,0.0309723277986318,2030
88,0.0047112092311843,0.0042107821746742,2032
89,0.0039737577548936,0.0127292159433811,2032
90,0.0055386796737538,0.0651120633530533,2030
91,0.0084620905894616,0.0084462242151196,2025
92,0.0069649497285169,0.011302901328097,2030
93,0.0040020983309743,0.0196808231895093,2030
94,0.0048695101812076,0.0040285004770564,2032
95,0.0019993053639537,0.0613746412190518,2030
96,0.0079451520216498,0.0146078333643501,2032
97,0.0061768417237258,0.0511301553078027,2030
98,0.0082681183962265,0.0098262255140105,2025
99,0.0032883625282752,0.0633008734665114,2030
100,0.0027230382846301,0.0030358495928339,2027
101,0.0069566601726007,0.0039673587443789,2027
102,0.0031703072054874,0.0111360764313387,TBA
103,0.0193556978046031,0.0204877902890679,2030
