index,num_school_500m,nearest_school_dist
0,1,334.85
1,0,607.72
2,1,425.76
3,0,564.97
4,1,271.72
5,2,279.74
6,2,164.78
7,0,831.23
8,1,439.94
9,2,300.72
10,2,451.15
11,1,148.65
12,1,289.12
13,0,675.27
14,0,583.13
15,2,310.86
16,0,1388.73
17,1,481.9
18,1,395.55
19,2,428.98
20,1,480.97
21,2,233.51
22,1,462.04
23,3,143.89
24,1,128.94
25,0,651.43
26,1,117.67
27,1,185.57
28,2,149.41
29,2,132.09
30,2,417.03
31,3,325.98
32,1,403.83
33,1,410.93
34,2,245.8
35,0,738.14
36,0,1143.02
37,1,439.58
38,2,113.63
39,0,676.88
40,1,476.01
41,1,396.94
42,1,475.51
43,0,573.29
44,2,246.18
45,0,702.52
46,1,173.09
47,0,613.73
48,1,205.34
49,1,343.39
50,0,512.4
51,3,218.73
52,1,252.84
53,1,228.77
54,2,287.45
55,4,314.49
56,2,438.1
57,1,375.37
58,1,213.47
59,0,647.12
60,2,396.3
61,1,154.13
62,0,580.74
63,1,360.6
64,1,392.04
65,1,488.97
66,1,254.71
67,0,625.8
68,1,196.66
69,3,286.92
70,0,788.04
71,0,694.88
72,1,446.41
73,1,284.23
74,1,74.78
75,2,380.95
76,2,270.9
77,3,353.39
78,1,458.6
79,0,600.66
80,1,132.29
81,1,247.24
82,2,400.21
83,1,163.7
84,1,138.64
85,2,444.35
86,1,132.03
87,0,629.49
88,3,172.42
89,1,388.84
90,2,131.19
91,1,327.65
92,1,437.04
93,0,618.81
94,1,408.49
95,3,339.98
96,3,254.19
97,1,275.14
98,1,491.06
99,2,185.52
100,0,595.73
101,4,258.51
102,2,386.43
103,2,119.35
104,2,177.23
105,3,225.07
106,0,527.38
107,0,552.78
108,1,136.82
109,1,122.06
110,4,192.0
111,0,1439.69
112,2,409.86
113,0,644.96
114,1,164.92
115,0,580.74
116,0,558.01
117,2,127.22
118,1,211.78
119,0,521.15
120,1,303.61
121,1,318.57
122,1,292.26
123,1,224.09
124,3,197.83
125,3,90.14
126,1,357.58
127,1,255.8
128,0,580.44
129,0,693.05
130,2,180.46
131,1,479.65
132,0,537.65
133,0,713.72
134,1,436.62
135,2,489.61
136,1,477.31
137,1,470.78
138,1,437.86
139,2,178.77
140,0,714.46
141,2,338.92
142,3,222.92
143,2,368.35
144,1,184.92
145,0,1698.88
146,2,371.07
147,0,718.62
148,2,377.41
149,2,346.56
150,0,613.49
151,2,224.56
152,1,143.02
153,1,364.91
154,0,520.02
155,1,116.38
156,1,473.03
157,3,305.47
158,0,551.99
159,1,237.56
160,0,671.3
161,0,634.56
162,1,435.09
163,0,580.99
164,3,183.64
165,3,180.78
166,1,270.28
167,2,391.27
168,1,324.09
169,1,373.58
170,0,757.61
171,0,743.46
172,1,150.28
173,1,384.29
174,1,422.77
